index,StartDateUTC,EndDateUTC
176,2016-01-24 23:19:44.430,2016-01-24 23:26:02.493
177,2016-01-24 23:26:02.493,2016-01-24 23:30:33.460
178,2016-01-24 23:30:33.460,2016-01-24 23:32:34.473
179,2016-01-24 23:32:34.473,2016-01-24 23:34:44.470
180,2016-01-24 23:34:44.470,2016-01-24 23:36:01.530
181,2016-01-24 23:36:01.530,2016-01-24 23:41:29.487
182,2016-01-24 23:41:29.487,2016-01-25 00:03:02.730
183,2016-01-25 00:03:02.730,2016-01-25 00:17:09.387
184,2016-01-25 00:17:09.387,2016-01-25 01:02:08.417
185,2016-01-25 01:02:08.417,2016-01-25 01:08:57.397
186,2016-01-25 01:08:57.397,2016-01-25 01:12:45.587
187,2016-01-25 01:12:45.587,2016-01-25 01:42:56.367
188,2016-01-25 01:42:56.367,2016-01-25 01:45:37.257
189,2016-01-25 01:45:37.257,2016-01-25 02:33:05.103
190,2016-01-25 02:33:05.103,2016-01-25 02:36:28.153
191,2016-01-25 02:36:28.153,2016-01-25 02:40:42.073
192,2016-01-25 02:40:42.073,2016-01-25 02:43:39.063
193,2016-01-25 02:43:39.063,2016-01-25 03:14:39.953
194,2016-01-25 03:14:39.953,2016-01-25 03:32:39.263
195,2016-01-25 03:32:39.263,2016-01-25 03:34:44.057
196,2016-01-25 03:34:44.057,2016-01-25 03:36:53.870
197,2016-01-25 03:36:53.870,2016-01-25 03:51:22.947
198,2016-01-25 03:51:22.947,2016-01-25 04:03:55.950
199,2016-01-25 04:03:55.950,2016-01-25 04:13:34.797
200,2016-01-25 04:13:34.797,2016-01-25 04:18:55.827
201,2016-01-25 04:18:55.827,2016-01-25 04:26:42.713
202,2016-01-25 04:26:42.713,2016-01-25 04:37:35.663
203,2016-01-25 04:37:35.663,2016-01-25 04:42:44.657
204,2016-01-25 04:42:44.657,2016-01-25 05:10:39.623
205,2016-01-25 05:10:39.623,2016-01-25 05:22:46.537
206,2016-01-25 05:22:46.537,2016-01-25 05:54:22.440
207,2016-01-25 05:54:22.440,2016-01-25 05:59:16.423
208,2016-01-25 05:59:16.423,2016-01-25 06:15:47.813
209,2016-01-25 06:15:47.813,2016-01-25 06:18:47.457
210,2016-01-25 06:18:47.457,2016-01-25 06:21:26.383
211,2016-01-25 06:21:26.383,2016-01-25 06:23:29.390
212,2016-01-25 06:23:29.390,2016-01-25 06:34:41.330
213,2016-01-25 06:34:41.330,2016-01-25 06:37:52.400
214,2016-01-25 06:37:52.400,2016-01-25 06:52:51.300
215,2016-01-25 06:52:51.300,2016-01-25 06:54:53.367
216,2016-01-25 06:54:53.367,2016-01-25 07:12:53.207
217,2016-01-25 07:12:53.207,2016-01-25 07:19:39.300
218,2016-01-25 07:19:39.300,2016-01-25 07:25:29.180
219,2016-01-25 07:25:29.180,2016-01-25 07:28:13.313
220,2016-01-25 07:28:13.313,2016-01-25 07:41:28.333
221,2016-01-25 07:41:28.333,2016-01-25 07:43:56.120
222,2016-01-25 07:43:56.120,2016-01-25 08:35:10.083
223,2016-01-25 08:35:10.083,2016-01-25 08:42:15.950
224,2016-01-25 08:42:15.950,2016-01-25 09:03:14.153
225,2016-01-25 09:03:14.153,2016-01-25 09:16:53.030
226,2016-01-25 09:16:53.030,2016-01-25 09:16:58.020
227,2016-01-25 09:16:58.020,2016-01-25 10:04:03.007
228,2016-01-25 10:04:03.007,2016-01-25 12:17:57.787
229,2016-01-25 12:17:57.787,2016-01-25 12:41:17.787
230,2016-01-25 12:41:17.787,2016-01-25 14:16:03.017
231,2016-01-25 14:16:03.017,2016-01-25 14:16:09.227
232,2016-01-25 14:16:09.227,2016-01-25 14:56:51.100
233,2016-01-25 14:56:51.100,2016-01-25 14:58:26.097
234,2016-01-25 14:58:26.097,2016-01-25 15:01:47.107
235,2016-01-25 15:01:47.107,2016-01-25 15:02:58.347
236,2016-01-25 15:02:58.347,2016-01-25 15:31:41.203
237,2016-01-25 15:31:41.203,2016-01-25 15:35:06.203
238,2016-01-25 15:35:06.203,2016-01-25 15:48:07.243
239,2016-01-25 15:48:07.243,2016-01-25 15:52:36.377
240,2016-01-25 15:52:36.377,2016-01-25 15:59:25.903
241,2016-01-25 15:59:25.903,2016-01-25 16:01:06.290
