ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
77773,1.6621991666666667,1.9480325,413.0,2016-02-03 08:25:12.030000,2016-02-03 10:22:05.670000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-01-26 10:22:05.670000,2016-02-11 10:22:05.670000,271.0,0.6752038294309478,1.4699718243637683,5
51150,4.740555555555556,6.854722222222223,1500.0,2016-02-03 10:22:05.670000,2016-02-03 17:13:22.340000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-01-24 17:13:22.340000,2016-02-11 17:13:22.340000,305.0,0.9632016291687746,1.185534629419403,5
-23,7.144793611111112,7.144793611111112,7.144793611111112,2016-02-03 17:13:22.340000,2016-02-04 00:22:03.597000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
51179,0.3721297222222222,1.2987963888888887,16.0,2016-02-04 00:22:03.597000,2016-02-04 01:39:59.297000,HORENTJES AMBRA SUPERIORE 20x5,LARGE,2016-01-28 01:39:59.297000,2016-02-11 01:39:59.297000,244.0,0.6709542556080625,0.5220682312093863,6
77308,1.963906388888889,5.0175175,236.0,2016-02-04 01:39:59.297000,2016-02-04 06:41:02.570000,HORENTJES AMBRA SUPERIORE 20x5,LARGE,2016-01-27 06:41:02.570000,2016-02-14 06:41:02.570000,244.0,1.3343276358552894,1.0309769968756575,5
77774,1.0108130555555557,1.0827575,77.0,2016-02-04 06:41:02.570000,2016-02-04 07:46:00.477000,HORENTJES AMBRA SUPERIORE 20x5,LARGE,2016-01-25 07:46:00.477000,2016-02-11 07:46:00.477000,244.0,1.4377046367245625,1.1196181526375195,4
77939,6.822782222222222,9.95333777777778,1465.0,2016-02-04 07:46:00.477000,2016-02-04 17:43:12.603000,HORENTJES AMBRA SUPERIORE 20x5,LARGE,2016-01-25 17:43:12.603000,2016-02-14 17:43:12.603000,244.0,1.2865824689844012,0.8711359624545731,2
51286,0.6383861111111111,4.272552777777778,13.0,2016-02-04 17:43:12.603000,2016-02-04 21:59:33.427000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-01-25 21:59:33.427000,2016-02-13 21:59:33.427000,305.0,0.9523282263267732,0.9159863555816314,4
77311,8.693864722222223,13.682475833333333,2286.0,2016-02-04 21:59:33.427000,2016-02-05 11:40:30.110000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-01-26 11:40:30.110000,2016-02-12 11:40:30.110000,305.0,1.152713933059923,1.19799253441403,1
51181,7.286094444444444,9.705816666666667,1500.0,2016-02-05 11:40:30.110000,2016-02-05 21:22:51.337000,AH BASIC VERMICELLI 20X500G,LARGE,2016-01-27 21:22:51.337000,2016-02-14 21:22:51.337000,244.0,0.5922531615466603,1.3735335151474968,8
51180,10.224964722222222,12.004686944444444,2400.0,2016-02-05 21:22:51.337000,2016-02-06 09:23:08.210000,TOSCA VERMICELLI TARWEBLOEM 20,LARGE,2016-01-28 09:23:08.210000,2016-02-16 09:23:08.210000,244.0,1.2726310661998057,0.5119718116151231,8
51346,13.745555555555555,19.20388888888889,4183.0,2016-02-06 09:23:08.210000,2016-02-07 04:35:22.147000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-01-30 04:35:22.147000,2016-02-14 04:35:22.147000,305.0,0.5033847098543318,1.2903515854591951,6
-32,3.1564944444444443,3.1564944444444443,3.1564944444444443,2016-02-07 04:35:22.147000,2016-02-07 07:44:45.527000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
