ID,Duration,Start,End,Quantity,Product
100,6.07,2016-03-07 19:52:28.077,2016-03-08 01:56:48.783,30000.0,FF044001
101,5.99,2016-03-08 01:56:52.630,2016-03-08 07:56:10.880,30000.0,FF029201
102,5.62,2016-03-08 14:42:34.467,2016-03-08 20:19:33.740,30000.0,FF029101
103,5.55,2016-03-08 20:19:37.340,2016-03-09 01:52:41.993,30000.0,FF011501
104,7.43,2016-03-09 01:52:46.103,2016-03-09 09:18:25.073,30000.0,FF036103
105,7.52,2016-03-09 09:36:41.110,2016-03-09 17:07:57.233,30000.0,FF027401
106,5.29,2016-03-09 17:16:24.767,2016-03-09 22:33:56.617,30000.0,FF025205
107,6.32,2016-03-09 22:34:00.277,2016-03-10 04:53:16.873,30000.0,FF025450
108,1.89,2016-03-10 14:01:49.383,2016-03-10 15:55:21.993,30000.0,FF012201
109,8.89,2016-03-10 15:31:39.877,2016-03-11 00:25:21.503,30000.0,FF011501
110,1.94,2016-03-11 00:25:26.987,2016-03-11 02:21:37.257,30000.0,FF029001
111,5.8,2016-03-11 02:21:41.440,2016-03-11 08:09:49.063,30000.0,FF029101
112,5.53,2016-03-11 08:23:29.310,2016-03-11 13:55:19.630,30000.0,FF145300
113,10.26,2016-03-11 17:29:29.470,2016-03-12 03:45:23.397,30000.0,FF174936
114,12.69,2016-03-12 03:45:30.537,2016-03-12 16:27:03.300,40000.0,FF027206
115,16.73,2016-03-12 16:47:11.860,2016-03-13 09:31:13.827,40000.0,FF049360
116,11.34,2016-03-14 07:05:31.497,2016-03-14 18:25:55.560,10000.0,FF029201
117,17.24,2016-03-14 18:48:01.443,2016-03-15 12:02:08.120,70000.0,FF144220
118,5.68,2016-03-15 14:22:13.230,2016-03-15 20:02:57.290,30000.0,FF145420
119,6.12,2016-03-15 20:36:54.773,2016-03-16 02:43:51.040,30000.0,FF025305
120,10.89,2016-03-16 02:57:42.123,2016-03-16 13:51:18.657,60000.0,FF035105
121,5.43,2016-03-16 14:14:44.813,2016-03-16 19:40:39.560,30000.0,FF025201
122,5.76,2016-03-16 19:47:54.003,2016-03-17 01:33:34.923,30000.0,FF044301
123,7.66,2016-03-17 01:33:39.063,2016-03-17 09:13:01.137,30000.0,FF042201
124,6.57,2016-03-17 09:29:46.043,2016-03-17 16:04:15.340,30000.0,FF036103
125,6.17,2016-03-17 16:04:20.073,2016-03-17 22:14:24.670,30000.0,FF012201
126,13.08,2016-03-17 22:14:28.130,2016-03-18 11:19:06.947,30000.0,FF025450
127,5.04,2016-03-18 11:39:21.980,2016-03-18 16:41:42.347,30000.0,FF025315
128,5.58,2016-03-18 16:41:48.187,2016-03-18 22:16:22.640,30000.0,FF012201
129,6.99,2016-03-18 22:16:27.680,2016-03-19 05:16:05.833,30000.0,FF044101
130,12.16,2016-03-19 07:43:57.993,2016-03-19 19:53:48.793,100000.0,FF049386
131,46.6,2016-03-20 20:48:16.153,2016-03-22 19:24:33.380,30000.0,FF044001
132,5.68,2016-03-22 19:32:51.427,2016-03-23 01:13:43.197,30000.0,FF044301
133,5.39,2016-03-23 01:13:50.450,2016-03-23 06:37:01.160,30000.0,FF029201
134,6.19,2016-03-23 07:08:43.637,2016-03-23 13:20:22.760,30000.0,FF036110
135,6.08,2016-03-23 13:59:07.207,2016-03-23 20:03:41.713,30000.0,FF036102
136,6.47,2016-03-23 20:03:50.553,2016-03-24 02:31:45.330,30000.0,FF025205
137,5.47,2016-03-24 02:31:53.117,2016-03-24 08:00:07.013,30000.0,FF029101
138,5.07,2016-03-24 08:38:48.910,2016-03-24 13:42:49.120,30000.0,FF025201
139,4.99,2016-03-30 06:40:59.557,2016-03-30 11:40:11.173,30000.0,FF035105
140,5.86,2016-03-30 12:01:38.440,2016-03-30 17:53:17.380,30000.0,FF025305
141,6.35,2016-03-30 17:53:21.247,2016-03-31 00:14:13.620,35000.0,FF029101
142,5.89,2016-03-31 00:14:17.203,2016-03-31 06:07:35.107,30000.0,FF044001
143,6.85,2016-03-31 06:22:40.027,2016-03-31 13:13:40.930,40000.0,FF082005
144,5.45,2016-03-31 13:34:07.620,2016-03-31 19:00:52.843,30000.0,FF029001
145,5.36,2016-03-31 19:01:04.273,2016-04-01 00:22:31.523,30000.0,FF025205
146,11.42,2016-04-01 00:22:34.623,2016-04-01 11:47:43.630,60000.0,FF044301
147,8.96,2016-04-01 12:08:08.253,2016-04-01 21:05:36.273,40000.0,FF025450
148,10.78,2016-04-02 00:14:19.233,2016-04-02 11:01:06.870,35000.0,FF027206
149,21.53,2016-04-02 11:26:26.787,2016-04-03 08:57:59.970,60000.0,FF049386
150,5.75,2016-04-03 20:54:27.827,2016-04-04 02:39:11.450,30000.0,FF082005
151,5.52,2016-04-04 03:22:43.170,2016-04-04 08:53:46.333,30000.0,FF012201
152,7.49,2016-04-04 09:29:51.793,2016-04-04 16:59:11.413,40000.0,FF036102
153,6.04,2016-04-04 16:59:15.540,2016-04-04 23:01:43.797,30000.0,FF036103
154,8.52,2016-04-04 23:01:49.550,2016-04-05 07:33:02.973,45000.0,FF025450
155,5.35,2016-04-05 08:07:43.900,2016-04-05 13:28:41.877,30000.0,FF011501
156,6.6,2016-04-05 13:42:28.830,2016-04-05 20:18:30.333,40000.0,FF025001
157,38.37,2016-04-06 05:11:14.090,2016-04-07 19:33:29.840,40000.0,FF145300
158,5.78,2016-04-07 19:33:36.890,2016-04-08 01:20:15.030,30000.0,FF025205
159,5.64,2016-04-08 01:20:56.177,2016-04-08 06:59:22.473,30000.0,FF029101
160,5.37,2016-04-08 08:33:06.457,2016-04-08 13:55:10.580,30000.0,FF035105
161,26.99,2016-04-08 16:14:25.260,2016-04-09 19:13:34.143,80000.0,FF174936
