ID,StartDateUTC,EndDateUTC
358,2016-03-17 21:46:19.993,2016-03-17 22:14:08.890
359,2016-03-18 03:04:12.757,2016-03-18 04:20:19.137
360,2016-03-18 09:37:08.050,2016-03-18 09:39:15.133
361,2016-03-18 11:39:26.320,2016-03-18 11:41:32.623
362,2016-03-18 16:45:57.277,2016-03-18 16:50:41.727
363,2016-03-18 16:51:39.460,2016-03-18 17:05:15.340
364,2016-03-18 22:15:53.270,2016-03-18 22:16:28.310
365,2016-03-18 22:16:28.310,2016-03-18 22:28:34.233
366,2016-03-19 05:15:20.527,2016-03-19 05:16:10.250
367,2016-03-19 07:44:02.630,2016-03-19 07:46:07.790
368,2016-03-19 19:51:59.467,2016-03-19 19:53:53.437
369,2016-03-20 20:48:20.227,2016-03-20 20:52:08.370
370,2016-03-20 21:02:50.273,2016-03-21 07:19:56.353
371,2016-03-22 13:45:47.540,2016-03-22 13:47:52.830
372,2016-03-22 19:19:44.330,2016-03-22 19:24:38.413
373,2016-03-22 19:32:57.357,2016-03-22 19:35:01.510
374,2016-03-23 01:04:44.250,2016-03-23 01:13:47.433
375,2016-03-23 01:13:53.423,2016-03-23 01:22:45.360
376,2016-03-23 07:08:50.360,2016-03-23 07:10:57.400
377,2016-03-23 13:59:12.200,2016-03-23 14:01:52.063
378,2016-03-23 20:00:16.077,2016-03-23 20:03:46.067
379,2016-03-23 20:03:56.260,2016-03-23 20:22:58.137
380,2016-03-23 20:28:53.157,2016-03-23 20:34:19.173
381,2016-03-23 21:07:17.257,2016-03-23 21:11:45.327
382,2016-03-24 00:31:18.837,2016-03-24 01:09:43.070
383,2016-03-24 02:21:53.137,2016-03-24 02:31:51.180
384,2016-03-24 02:31:58.400,2016-03-24 02:33:52.207
385,2016-03-24 02:37:52.333,2016-03-24 02:40:10.243
386,2016-03-24 08:38:55.377,2016-03-24 08:41:02.560
387,2016-03-24 13:41:09.910,2016-03-24 13:42:54.887
388,2016-03-30 06:41:04.057,2016-03-30 06:43:09.060
389,2016-03-30 10:28:10.323,2016-03-30 10:30:29.420
390,2016-03-30 11:39:49.083,2016-03-30 11:40:15.243
391,2016-03-30 12:01:42.980,2016-03-30 12:04:42.050
392,2016-03-30 12:58:32.883,2016-03-30 13:33:14.840
393,2016-03-30 17:39:26.530,2016-03-30 17:53:23.570
394,2016-03-30 17:53:23.570,2016-03-30 17:55:25.673
395,2016-03-31 00:16:20.590,2016-03-31 00:31:50.660
396,2016-03-31 06:06:38.557,2016-03-31 06:07:41.563
397,2016-03-31 06:22:44.400,2016-03-31 06:24:49.663
398,2016-03-31 13:34:11.863,2016-03-31 13:36:17.980
399,2016-03-31 18:58:22.733,2016-03-31 19:00:57.773
400,2016-03-31 19:01:07.690,2016-03-31 19:17:08.863
401,2016-03-31 19:17:57.877,2016-03-31 19:20:43.900
402,2016-04-01 00:24:42.670,2016-04-01 00:43:00.693
403,2016-04-01 12:08:13.260,2016-04-01 12:10:18.470
