,ProductionRequestId,TargetProductionRate
104,54309.0,244.0
105,54310.0,203.0
106,54311.0,244.0
107,54312.0,244.0
108,54313.0,203.0
109,54314.0,305.0
110,54315.0,305.0
111,54316.0,271.0
112,54567.0,244.0
113,54584.0,244.0
114,54585.0,244.0
115,54586.0,203.0
116,54587.0,271.0
117,54588.0,244.0
118,54589.0,244.0
119,54590.0,203.0
120,54591.0,305.0
121,54592.0,244.0
122,54757.0,1.0
123,54837.0,130.0
124,54882.0,305.0
125,54883.0,244.0
126,54884.0,305.0
127,54885.0,244.0
128,54886.0,244.0
129,54887.0,244.0
130,54888.0,130.0
131,55159.0,244.0
132,55160.0,244.0
133,55161.0,271.0
134,55162.0,244.0
135,55163.0,244.0
136,55164.0,244.0
137,55315.0,203.0
138,55316.0,305.0
139,55317.0,244.0
140,55318.0,244.0
141,55375.0,244.0
142,55376.0,244.0
143,55415.0,244.0
144,55416.0,203.0
145,55417.0,203.0
146,55418.0,203.0
147,55419.0,244.0
148,55420.0,244.0
149,55421.0,203.0
150,55652.0,271.0
151,55653.0,305.0
152,55654.0,244.0
153,55655.0,244.0
154,55656.0,244.0
155,55657.0,305.0
156,55658.0,203.0
157,55659.0,244.0
158,55660.0,244.0
159,55913.0,244.0
160,55994.0,203.0
161,55995.0,203.0
162,55996.0,244.0
163,56071.0,305.0
164,56072.0,271.0
165,56073.0,244.0
166,56251.0,305.0
167,56252.0,244.0
168,56253.0,244.0
169,56254.0,244.0
170,56255.0,244.0
171,56458.0,305.0
172,56459.0,203.0
173,56540.0,271.0
174,56612.0,244.0
175,56613.0,244.0
176,56614.0,244.0
177,56615.0,203.0
178,56616.0,305.0
179,56617.0,305.0
180,56652.0,305.0
181,56926.0,244.0
182,56928.0,244.0
183,56929.0,244.0
184,56936.0,271.0
185,56937.0,244.0
186,56938.0,244.0
187,56939.0,244.0
188,56940.0,305.0
189,56964.0,244.0
190,56999.0,244.0
191,57000.0,244.0
192,57049.0,305.0
193,57152.0,203.0
194,57189.0,305.0
195,57190.0,244.0
196,57191.0,244.0
197,57192.0,244.0
198,57477.0,244.0
199,57478.0,244.0
200,57479.0,203.0
201,57480.0,203.0
202,57481.0,203.0
203,57483.0,244.0
204,57614.0,244.0
205,57749.0,203.0
206,57750.0,203.0
207,57785.0,305.0
208,57786.0,271.0
209,57794.0,305.0
210,57796.0,244.0
211,57798.0,244.0
212,57799.0,244.0
213,57955.0,271.0
214,58020.0,305.0
215,58021.0,271.0
216,58022.0,244.0
217,58024.0,203.0
218,58025.0,244.0
219,58026.0,244.0
220,58197.0,244.0
221,58380.0,244.0
222,58381.0,305.0
223,58382.0,244.0
224,58383.0,203.0
225,58384.0,203.0
226,58388.0,244.0
227,58389.0,244.0
228,58390.0,244.0
229,58391.0,244.0
230,58624.0,271.0
231,58669.0,340.0
232,58670.0,340.0
