ID,Duration,Start,End,Quantity,Product,Power
137,7.82,2016-05-20 14:24:12.853,2016-05-20 22:13:08.373,1400.0,043942EU,3.4
138,18.9,2016-05-20 22:13:14.770,2016-05-21 17:07:31.497,3000.0,042939EU,3.73
139,7.54,2016-05-21 17:07:35.837,2016-05-22 00:40:14.950,750.0,043947EU,4.51
140,5.3,2016-05-22 00:40:19.060,2016-05-22 05:58:23.573,750.0,042747EU,3.19
141,24.91,2016-05-22 07:43:53.200,2016-05-23 08:38:36.220,3600.0,044138EU,4.82
142,15.7,2016-05-23 08:38:41.063,2016-05-24 00:20:58.777,1700.0,043477CH,3.5
143,21.47,2016-05-24 14:03:30.667,2016-05-25 11:31:28.480,3500.0,044042EU,4.11
144,19.14,2016-05-25 11:31:33.343,2016-05-26 06:39:56.637,5700.0,044046EU,4.14
145,16.19,2016-05-26 06:40:03.333,2016-05-26 22:51:41.567,2700.0,023732CH,3.95
146,12.95,2016-05-26 23:29:28.650,2016-05-27 12:26:44.887,2200.0,043932EU,4.42
147,15.85,2016-05-27 12:26:50.200,2016-05-28 04:17:44.370,2300.0,042944EU,4.3
148,25.88,2016-05-28 04:26:46.800,2016-05-29 06:19:48.240,3600.0,042943EU,4.26
149,10.68,2016-05-29 06:23:04.350,2016-05-29 17:03:43.803,1400.0,042742EU,4.07
150,19.66,2016-05-29 17:03:46.957,2016-05-30 12:43:18.373,1200.0,040366EU,3.37
151,12.28,2016-05-30 12:43:23.163,2016-05-31 01:00:17.940,1900.0,043938EU,4.45
152,15.45,2016-05-31 01:00:23.950,2016-05-31 16:27:12.937,2700.0,043932EU,4.49
153,13.81,2016-05-31 16:27:19.950,2016-06-01 06:15:39.740,2700.0,036647EC,4.08
154,37.12,2016-06-01 06:39:52.210,2016-06-02 19:47:16.810,5700.0,044046EU,3.22
155,15.12,2016-06-02 19:47:27.080,2016-06-03 10:54:24.590,3400.0,037766EC,4.98
156,11.3,2016-06-03 12:35:33.533,2016-06-03 23:53:43.370,2200.0,028138EU,3.27
157,11.7,2016-06-03 23:53:47.223,2016-06-04 11:35:49.837,2300.0,037739CH,4.36
