ID,Duration,Start,End,Power,Factor
111,52.02,2016-04-23 06:32:58.260,2016-04-25 10:34:07.083,33.08,107.24
112,13.31,2016-04-25 10:34:12.657,2016-04-25 23:52:54.960,36.72,157.31
113,21.6,2016-04-26 00:16:41.697,2016-04-26 21:52:34.670,45.32,124.24
114,22.85,2016-04-26 22:10:04.843,2016-04-27 21:01:00.160,36.65,145.4
115,14.05,2016-04-28 01:30:01.093,2016-04-28 15:32:52.703,40.72,165.84
116,9.03,2016-04-28 16:27:01.753,2016-04-29 01:28:42.767,38.73,193.86
117,16.18,2016-04-29 02:17:48.747,2016-04-29 18:28:39.113,42.07,129.03
118,11.98,2016-04-29 20:30:17.397,2016-04-30 08:29:06.160,40.88,105.53
119,28.37,2016-04-30 08:39:03.560,2016-05-01 13:01:23.143,46.36,106.72
120,28.98,2016-05-01 13:20:57.187,2016-05-02 18:19:30.057,42.27,106.68
121,8.85,2016-05-02 18:41:54.710,2016-05-03 03:33:09.270,34.63,100.52
122,14.11,2016-05-03 03:34:09.330,2016-05-03 17:40:30.467,38.21,187.43
123,29.24,2016-05-03 17:40:37.830,2016-05-04 22:55:03.543,48.39,198.02
124,58.41,2016-05-04 23:35:43.813,2016-05-07 10:00:06.300,37.08,195.56
125,41.82,2016-05-07 10:27:54.837,2016-05-09 04:16:53.470,36.54,137.7
126,27.99,2016-05-09 04:16:59.480,2016-05-10 08:16:40.673,48.85,101.02
127,20.96,2016-05-10 08:16:46.363,2016-05-11 05:14:34.140,32.73,187.46
128,13.51,2016-05-11 05:14:40.450,2016-05-11 18:44:58.750,36.69,175.11
129,5.74,2016-05-11 18:45:07.550,2016-05-12 00:29:38.143,42.28,131.48
130,38.98,2016-05-12 00:34:57.207,2016-05-13 15:33:30.367,41.05,129.71
131,31.55,2016-05-13 15:33:35.670,2016-05-14 23:06:28.633,40.37,139.01
132,7.26,2016-05-14 23:06:34.920,2016-05-15 06:22:27.840,32.51,172.08
133,15.96,2016-05-15 06:42:44.887,2016-05-15 22:40:16.920,45.05,172.64
134,70.82,2016-05-15 22:40:40.017,2016-05-18 21:29:56.510,43.37,156.5
135,10.37,2016-05-18 21:30:00.597,2016-05-19 07:52:17.817,42.36,179.63
136,23.93,2016-05-19 14:28:18.807,2016-05-20 14:24:08.127,41.32,179.62
137,7.82,2016-05-20 14:24:12.853,2016-05-20 22:13:08.373,30.89,133.1
138,18.9,2016-05-20 22:13:14.770,2016-05-21 17:07:31.497,44.82,103.77
139,7.54,2016-05-21 17:07:35.837,2016-05-22 00:40:14.950,40.1,175.29
140,5.3,2016-05-22 00:40:19.060,2016-05-22 05:58:23.573,45.73,123.25
141,24.91,2016-05-22 07:43:53.200,2016-05-23 08:38:36.220,30.73,174.71
142,15.7,2016-05-23 08:38:41.063,2016-05-24 00:20:58.777,35.96,109.46
143,21.47,2016-05-24 14:03:30.667,2016-05-25 11:31:28.480,37.03,184.6
144,19.14,2016-05-25 11:31:33.343,2016-05-26 06:39:56.637,40.96,129.26
145,16.19,2016-05-26 06:40:03.333,2016-05-26 22:51:41.567,46.8,159.95
146,12.95,2016-05-26 23:29:28.650,2016-05-27 12:26:44.887,32.87,145.19
147,15.85,2016-05-27 12:26:50.200,2016-05-28 04:17:44.370,43.14,140.16
