ID,Duration,Start,End,Power
182,6.32,2016-04-19 15:56:05.477,2016-04-19 22:15:33.887,44.89
183,7.37,2016-04-19 22:15:40.860,2016-04-20 05:37:58.883,42.56
184,8.13,2016-04-20 05:48:55.080,2016-04-20 13:56:57.163,42.38
185,11.66,2016-04-20 14:08:48.723,2016-04-21 01:48:24.197,46.94
186,5.41,2016-04-21 01:48:27.990,2016-04-21 07:13:00.360,36.45
187,7.99,2016-04-21 07:30:25.563,2016-04-21 15:29:34.633,35.37
188,11.36,2016-04-22 05:33:34.833,2016-04-22 16:55:07.677,38.11
189,6.52,2016-04-22 17:06:31.840,2016-04-22 23:37:28.180,35.28
190,22.84,2016-04-23 02:39:52.987,2016-04-24 01:30:27.787,34.14
191,11.38,2016-04-24 01:52:18.947,2016-04-24 13:15:24.410,43.13
192,14.45,2016-04-24 14:00:41.643,2016-04-25 04:27:35.580,32.61
193,8.35,2016-04-25 07:56:07.197,2016-04-25 16:17:03.317,37.64
194,14.49,2016-04-29 10:16:42.040,2016-04-30 00:45:59.783,33.32
195,5.95,2016-04-29 12:41:28.183,2016-04-29 18:38:33.493,30.95
196,5.03,2016-04-30 00:46:04.407,2016-04-30 05:47:50.033,47.66
197,5.65,2016-04-30 06:14:06.873,2016-04-30 11:53:14.337,34.43
198,38.21,2016-04-30 13:50:03.590,2016-05-02 04:02:52.453,37.73
199,6.28,2016-05-02 01:34:46.290,2016-05-02 07:51:21.660,42.32
200,8.35,2016-05-02 08:17:29.027,2016-05-02 16:38:23.200,34.84
201,6.76,2016-05-02 16:45:23.147,2016-05-02 23:30:53.697,34.04
202,7.23,2016-05-02 23:30:58.247,2016-05-03 06:45:01.240,40.69
203,5.01,2016-05-03 07:09:27.780,2016-05-03 12:09:46.697,34.82
204,5.8,2016-05-03 12:32:39.997,2016-05-03 18:20:36.273,35.51
205,6.22,2016-05-03 18:26:23.873,2016-05-04 00:39:43.833,42.48
206,5.83,2016-05-04 00:39:47.543,2016-05-04 06:29:35.840,48.42
207,15.85,2016-05-07 06:31:05.350,2016-05-07 22:22:22.943,39.52
208,11.12,2016-05-07 23:00:29.820,2016-05-08 10:07:42.663,44.94
209,20.56,2016-05-08 10:24:54.470,2016-05-09 06:58:38.333,36.21
210,11.42,2016-05-09 06:37:46.230,2016-05-09 18:03:01.650,49.0
211,5.03,2016-05-09 18:25:37.543,2016-05-09 23:27:15.213,44.17
212,6.23,2016-05-09 23:32:31.180,2016-05-10 05:46:12.780,30.14
213,10.42,2016-05-10 08:31:59.040,2016-05-10 18:57:23.633,30.15
214,5.1,2016-05-10 19:23:08.803,2016-05-11 00:29:23.793,42.54
215,6.15,2016-05-11 00:29:27.790,2016-05-11 06:38:12.450,32.3
216,5.48,2016-05-11 12:21:10.907,2016-05-11 17:50:03.240,35.5
217,5.69,2016-05-11 18:12:05.357,2016-05-11 23:53:15.213,42.55
218,6.8,2016-05-11 23:53:19.197,2016-05-12 06:41:10.450,42.19
219,6.14,2016-05-12 07:02:33.317,2016-05-12 13:11:11.473,45.77
220,5.74,2016-05-12 17:38:32.313,2016-05-12 23:22:42.140,30.01
221,13.91,2016-05-12 23:22:50.430,2016-05-13 13:17:18.880,49.24
222,5.86,2016-05-13 14:43:07.020,2016-05-13 20:34:54.340,31.56
223,16.21,2016-05-13 23:11:24.850,2016-05-14 15:24:08.457,49.83
224,10.16,2016-05-14 16:52:21.487,2016-05-15 03:01:54.513,32.21
225,6.79,2016-05-17 06:15:45.797,2016-05-17 13:03:10.130,44.06
226,6.65,2016-05-17 13:13:08.710,2016-05-17 19:52:25.620,40.08
227,12.11,2016-05-17 19:52:33.203,2016-05-18 07:58:53.807,43.64
228,6.03,2016-05-18 08:15:49.340,2016-05-18 14:17:38.670,39.7
229,11.51,2016-05-18 14:46:06.927,2016-05-19 02:16:26.797,37.54
230,7.08,2016-05-19 02:43:40.833,2016-05-19 09:48:22.683,36.03
231,11.97,2016-05-19 10:12:42.767,2016-05-19 22:11:11.090,45.61
232,5.36,2016-05-19 22:11:14.720,2016-05-20 03:32:32.997,39.16
233,12.75,2016-05-20 03:57:52.960,2016-05-20 16:43:08.673,38.86
234,12.58,2016-05-20 19:06:17.540,2016-05-21 07:41:22.777,47.47
235,34.93,2016-05-21 08:02:42.940,2016-05-22 18:58:17.130,40.85
236,7.15,2016-05-23 11:41:44.060,2016-05-23 18:50:40.107,42.0
237,8.37,2016-05-23 18:57:18.450,2016-05-24 03:19:28.313,41.11
238,6.83,2016-05-24 03:19:31.760,2016-05-24 10:09:27.920,37.54
239,5.28,2016-05-24 10:22:44.380,2016-05-24 15:39:32.517,39.99
240,10.47,2016-05-24 16:23:21.463,2016-05-25 02:51:25.373,47.37
241,2.9,2016-05-25 02:51:28.690,2016-05-25 05:45:15.990,42.4
242,5.7,2016-05-25 05:45:19.153,2016-05-25 11:27:17.830,46.9
243,7.76,2016-05-25 11:56:05.710,2016-05-25 19:41:33.830,46.15
244,6.71,2016-05-25 19:41:38.157,2016-05-26 02:24:07.057,30.64
245,11.24,2016-05-26 02:47:13.323,2016-05-26 14:01:45.293,34.39
246,6.36,2016-05-26 14:01:53.173,2016-05-26 20:23:34.023,30.41
247,7.03,2016-05-26 20:23:37.970,2016-05-27 03:25:23.427,34.2
248,9.39,2016-05-27 18:28:50.160,2016-05-28 03:52:17.060,46.77
249,23.46,2016-05-28 04:32:04.440,2016-05-29 03:59:56.557,33.95
250,6.41,2016-05-30 10:15:52.880,2016-05-30 16:40:29.747,38.68
251,5.69,2016-05-30 16:52:43.250,2016-05-30 22:33:49.720,39.43
252,8.89,2016-05-30 22:33:52.883,2016-05-31 07:27:30.147,48.21
253,6.18,2016-05-31 07:47:41.213,2016-05-31 13:58:38.740,35.3
254,5.74,2016-05-31 14:19:51.653,2016-05-31 20:04:17.910,48.58
255,11.69,2016-05-31 20:04:21.443,2016-06-01 07:46:02.310,47.42
256,5.99,2016-06-01 18:20:56.057,2016-06-02 00:20:14.160,42.04
257,6.63,2016-06-02 00:20:19.193,2016-06-02 06:58:07.033,30.59
258,8.78,2016-06-02 07:25:51.097,2016-06-02 16:12:48.233,43.31
259,5.78,2016-06-02 18:10:59.263,2016-06-02 23:57:31.303,32.03
260,6.44,2016-06-02 23:57:35.397,2016-06-03 06:24:13.810,49.3
261,6.24,2016-06-03 06:49:59.633,2016-06-03 13:04:32.470,46.81
262,7.68,2016-06-03 13:12:37.267,2016-06-03 20:53:26.920,47.01
263,20.15,2016-06-03 23:13:37.270,2016-06-04 19:22:43.920,31.77
264,17.11,2016-06-04 19:46:40.627,2016-06-05 12:53:25.980,42.63
265,7.07,2016-06-05 22:22:59.660,2016-06-06 05:27:24.133,49.26
266,6.0,2016-06-06 05:50:51.800,2016-06-06 11:50:44.300,33.61
267,6.84,2016-06-06 12:13:21.080,2016-06-06 19:03:34.877,34.49
268,7.44,2016-06-06 19:03:39.037,2016-06-07 02:30:02.797,32.05
269,6.64,2016-06-07 02:30:06.067,2016-06-07 09:08:39.043,37.71
270,8.2,2016-06-07 09:19:00.923,2016-06-07 17:30:47.860,39.3
271,9.02,2016-06-07 17:54:59.507,2016-06-08 02:56:03.643,35.34
272,7.42,2016-06-09 15:58:19.727,2016-06-09 23:23:16.437,33.44
273,6.01,2016-06-09 23:23:23.603,2016-06-10 05:23:42.200,46.02
274,14.13,2016-06-10 05:48:27.673,2016-06-10 19:56:01.243,38.41
275,6.54,2016-06-10 19:56:05.860,2016-06-11 02:28:39.520,37.79
276,47.55,2016-06-11 04:30:08.477,2016-06-13 04:03:13.333,34.76
277,25.75,2016-06-11 12:17:00.560,2016-06-12 14:01:43.127,41.54
278,7.29,2016-06-13 12:41:37.310,2016-06-13 19:59:15.340,40.66
279,10.02,2016-06-13 19:59:19.997,2016-06-14 06:00:47.557,30.33
280,7.27,2016-06-14 06:44:23.943,2016-06-14 14:00:51.767,39.59
281,10.16,2016-06-14 14:47:07.867,2016-06-15 00:56:49.040,45.86
282,5.79,2016-06-15 00:56:52.320,2016-06-15 06:44:15.567,46.23
283,9.41,2016-06-15 07:33:07.040,2016-06-15 16:57:44.670,44.57
284,6.56,2016-06-15 17:39:45.713,2016-06-16 00:13:31.633,44.57
285,5.83,2016-06-16 00:13:35.543,2016-06-16 06:03:31.260,32.5
286,6.74,2016-06-16 06:40:45.220,2016-06-16 13:24:55.420,37.38
287,11.11,2016-06-16 13:34:43.670,2016-06-17 00:41:09.703,34.26
288,6.51,2016-06-17 01:02:53.757,2016-06-17 07:33:19.920,37.8
289,8.92,2016-06-17 08:13:16.970,2016-06-17 17:08:18.770,47.52
290,21.6,2016-06-17 20:12:38.873,2016-06-18 17:48:25.137,33.24
291,19.99,2016-06-18 18:04:41.353,2016-06-19 14:04:17.507,36.26
292,6.45,2016-06-20 00:00:55.213,2016-06-20 06:27:39.957,33.68
293,6.23,2016-06-20 06:49:44.010,2016-06-20 13:03:41.210,41.88
294,6.7,2016-06-20 13:11:14.450,2016-06-20 19:53:05.457,43.81
