,000000EU,FF011501,FF012201,FF014202,FF025001,FF025201,FF025205,FF025305,FF025315,FF025450,FF025460,FF027206,FF027216,FF027401,FF027601,FF029001,FF029101,FF029201,FF035105,FF035902,FF036102,FF036103,FF036110,FF038001,FF042201,FF044001,FF044005,FF044101,FF044301,FF044302,FF049360,FF049361,FF049386,FF049390,FF082005,FF104421,FF125220,FF144220,FF144616,FF145300,FF145420,FF174906,FF174936
FF042201,381.0,1480.0,1333.66,1018.0,1531.0,1188.5349999999999,1014.0,1116.21,1373.993,1469.05,7578.0,1013.0,7578.0,143.007,7578.0,1070.0,2240.0,1016.0,990.857,1013.0,1047.0,1398.054,393.4835,5588.0,3789.0,1072.0,7578.0,1065.0,1017.0,7578.0,1096.0,1972.0,1014.0,7578.0,1412.0,4240.003000000001,1016.0,762.0,1053.0,1018.0,893.0,1044.0,1016.0
FF044001,0.0,718.0,252.0,256.0,769.0,300.0,1231.0,254.0,1031.03,1034.9965,6816.0,251.0,6816.0,11722.5,6816.0,1414.995,1478.0,1152.0,254.0,251.0,2692.9285,1003.0,253.0,4826.0,6816.0,155.0,6816.0,303.0,916.944,6816.0,334.0,1210.0,252.0,6816.0,1331.0235,250.0,254.0,1650.317,291.0,256.0,131.0,282.0,254.0
FF044005,381.0,1480.0,1014.0,1018.0,1531.0,1062.0,1014.0,1016.0,2237.0,1056.0,7578.0,1013.0,7578.0,1572.0,7578.0,0.0,2240.0,1016.0,1016.0,1013.0,1047.0,1013.0,1015.0,5588.0,7578.0,1072.0,3789.0,1065.0,1017.0,7578.0,1096.0,1972.0,1014.0,7578.0,1018.0,1012.0,1016.0,762.0,1053.0,1018.0,893.0,1044.0,1016.0
FF044101,54.0,36521.005,872.74,364.0,877.0,408.0,1043.0935,831.0,1583.0,1149.0,6924.0,359.0,6924.0,918.0,6924.0,0.0,1586.0,766.986,362.0,359.0,731.9970000000001,359.0,835.5,6014.073,6924.0,371.52,6924.0,1103.086,1074.5,6924.0,442.0,1318.0,360.0,6924.0,1388.9940000000001,358.0,362.0,1394.488,399.0,1031.987,239.0,390.0,362.0
FF044301,0.0,718.0,924.937,256.0,1158.584,300.0,984.707,254.0,1809.4520000000002,1256.4685,1224.0,5224.003,6816.0,810.0,6816.0,1657.077,1478.0,1069.4965000000002,254.0,251.0,1400.0,353.495,970.495,996.0,1009.0,310.0,6816.0,881.06,127.5,6816.0,334.0,1210.0,252.0,6816.0,256.0,782.01,2709.4984999999997,1137.995,291.0,256.0,131.0,282.0,254.0
FF044302,0.0,718.0,252.0,256.0,769.0,300.0,252.0,2300.996,1084.0,294.0,6816.0,251.0,6816.0,810.0,6816.0,308.0,1478.0,254.0,1178.0,251.0,285.0,443.0,1463.9969999999998,4826.0,6816.0,310.0,6816.0,303.0,255.0,3408.0,334.0,1210.0,252.0,6816.0,256.0,250.0,254.0,0.0,291.0,495.0,131.0,282.0,254.0
FF049360,0.0,718.0,252.0,256.0,769.0,300.0,252.0,254.0,1475.0,294.0,6816.0,1462.924,6816.0,810.0,6816.0,308.0,1478.0,254.0,254.0,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,303.0,255.0,6816.0,167.0,1274.335,1610.066,6816.0,256.0,250.0,254.0,0.0,291.0,256.0,131.0,1815.7615,254.0
FF049361,381.0,1480.0,1014.0,1018.0,1531.0,1062.0,1014.0,1016.0,2237.0,1056.0,7578.0,35814.409499999994,7578.0,1572.0,51717.993,1070.0,2240.0,1016.0,1016.0,1013.0,1047.0,1013.0,1015.0,5588.0,7578.0,1072.0,7578.0,1065.0,1017.0,7578.0,3854.0,986.0,1014.0,1779.535,1018.0,1012.0,1016.0,762.0,1053.0,1018.0,893.0,1379.9969999999998,2038.4969999999998
FF049386,0.0,718.0,62414.99,256.0,769.0,300.0,2880.0370000000003,254.0,1475.0,294.0,6816.0,1758.933,6816.0,810.0,1233.01,308.0,1478.0,254.0,254.0,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,303.0,255.0,6816.0,334.0,1210.0,126.0,6816.0,256.0,250.0,254.0,0.0,291.0,256.0,131.0,282.0,254.0
FF049390,0.0,47390.005000000005,36368.56,256.0,417.0,300.0,252.0,254.0,1475.0,72221.99,6816.0,251.0,6816.0,810.0,6816.0,308.0,782.993,35422.003,34272.0015,251.0,285.0,251.0,253.0,4826.0,6816.0,624.0,6816.0,62733.993,1124.0,6816.0,334.0,1210.0,1976.996,3408.0,1814.0,250.0,254.0,0.0,291.0,20533.493,131.0,46932.3535,254.0
FF082005,103.0,884.653,458.0,1466.117,918.0,1170.0,1067.565,460.0,1681.0,845.447,1682.0,457.0,7022.0,1016.0,7022.0,1352.7930000000001,1009.0,460.0,709.487,457.0,491.0,2200.01,671.0029999999999,5032.0,1305.997,1033.5349999999999,7022.0,567.99,1193.225,354.0,540.0,1416.0,458.0,7022.0,171.013,456.0,460.0,206.0,497.0,1408.004,337.0,488.0,460.0
FF104421,381.0,1480.0,1001.0,1018.0,1531.0,1062.0,1603.0,1016.0,2237.0,1325.087,7578.0,1013.0,933.004,1572.0,7578.0,1070.0,2240.0,1016.0,2308.0,1013.0,1047.0,1013.0,1015.0,5588.0,7578.0,4.99,7578.0,1065.0,820.384,7578.0,1096.0,1972.0,1014.0,7578.0,1018.0,506.0,1016.0,762.0,1053.0,1018.0,893.0,1044.0,1016.0
FF125220,0.0,1148.006,1128.0,256.0,769.0,300.0,1196.0,429.0,1475.0,294.0,814.0,9464.0,6816.0,810.0,6816.0,1204.0,1478.0,254.0,254.0,251.0,1310.0,251.0,253.0,4826.0,6816.0,835.11,6816.0,303.0,255.0,6816.0,334.0,1210.0,252.0,6816.0,256.0,250.0,127.0,0.0,291.0,1074.97,131.0,282.0,254.0
FF144220,0.0,1060.047,915.0,256.0,769.0,300.0,769.0,254.0,832.513,1428.94,6816.0,251.0,28560.0,2634.1065,6816.0,308.0,5.01,1439.0430000000001,885.027,251.0,285.0,251.0,253.0,4826.0,6816.0,366.305,6816.0,1167.99,255.0,6816.0,11925.988000000001,1210.0,252.0,6816.0,256.0,250.0,254.0,0.0,291.0,256.0,131.0,282.0,254.0
FF144616,28.0,774.0,308.0,312.0,825.0,356.0,308.0,310.0,1531.0,350.0,6872.0,307.0,2236.0015000000003,866.0,6872.0,364.0,1534.0,310.0,310.0,307.0,341.0,307.0,309.0,4882.0,6872.0,366.0,6872.0,359.0,311.0,6872.0,390.0,1266.0,1980.5745000000002,1892.003,312.0,306.0,310.0,56.0,173.5,312.0,187.0,338.0,310.0
FF145300,0.0,1372.5485,1979.0,256.0,1481.0,300.0,1863.4765000000002,1779.0,1475.0,1159.177,1150.0,251.0,6816.0,810.0,6816.0,308.0,1527.0,254.0,1335.0,251.0,7905.5035,1649.94,1184.9265,4826.0,6816.0,310.0,6816.0,303.0,1438.896,1154.003,334.0,635.9929999999999,252.0,6816.0,401.0,1411.0230000000001,254.0,1178.0,291.0,928.577,131.0,282.0,254.0
FF145420,34.0,1993.993,0.0,324.0,837.0,368.0,320.0,322.0,1543.0,1218.006,6884.0,319.0,6884.0,878.0,6884.0,2398.0,1546.0,322.0,1095.03,319.0,1511.405,319.0,321.0,4894.0,6884.0,378.0,6884.0,371.0,323.0,6884.0,402.0,1278.0,320.0,6884.0,1064.993,318.0,322.0,68.0,359.0,1533.146,99.5,350.0,322.0
FF174906,30.0,778.0,312.0,316.0,829.0,360.0,312.0,314.0,1535.0,354.0,6876.0,1864.277,6876.0,870.0,6876.0,368.0,1538.0,314.0,314.0,311.0,345.0,311.0,313.0,4886.0,6876.0,370.0,6876.0,1365.0059999999999,315.0,6876.0,394.0,1270.0,1633.787,6876.0,316.0,310.0,314.0,60.0,351.0,316.0,191.0,171.0,1404.9285
FF174936,0.0,718.0,252.0,256.0,769.0,300.0,252.0,254.0,1475.0,294.0,6816.0,1289.917,6816.0,810.0,6816.0,308.0,2721.304,31998.0,254.0,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,303.0,255.0,333.0,334.0,811.0035,1297.9885,1930.0,256.0,250.0,254.0,0.0,291.0,256.0,131.0,282.0,127.0
